experiment,module,shape,variant,device,dtype,repeat,warmup,num_parameters,estimated_weight_size_MB,fp32_weight_size_MB,fp16_weight_size_MB,int8_weight_size_MB,int4_weight_size_MB,compression_ratio_vs_fp32,mse,mae,max_error,cosine_similarity,relative_l2_error,latency_mean_ms,latency_std_ms
pi0_aligned_random_quant,vlm_attention_k_proj_seq256,"[1,256,2048]->[1,256,256]",int8_fake_quant,cuda,float32,8,3,524544,0.500244140625,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,4.0,0.00023642297310288996,0.012233676388859749,0.07501962780952454,0.9998826384544373,0.015324191190302372,0.15531687499503732,0.007285482903486994
pi0_aligned_random_quant,vlm_attention_k_proj_seq256,"[1,256,2048]->[1,256,256]",int4_weight_only_fake_quant,cuda,float32,8,3,524544,0.2501220703125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,8.0,0.0231405608355999,0.12080676853656769,0.6971781849861145,0.9887272715568542,0.15160714089870453,0.11903062500806527,0.003647249913647652
pi0_aligned_random_quant,vlm_attention_k_proj_seq256,"[1,256,2048]->[1,256,256]",w4a8_fake_quant,cuda,float32,8,3,524544,0.2501220703125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,8.0,0.02324644848704338,0.12110406160354614,0.6829003095626831,0.9886754751205444,0.15195362269878387,0.15413912498729587,0.006579667027161165
pi0_aligned_random_quant,vlm_attention_v_proj_seq256,"[1,256,2048]->[1,256,256]",fp32,cuda,float32,10,3,524544,2.0009765625,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,1.0,0.0,0.0,0.0,1.0000001192092896,0.0,0.0778750999870681,0.0013902959690769029
pi0_aligned_random_quant,vlm_attention_v_proj_seq256,"[1,256,2048]->[1,256,256]",fp16,cuda,float32,10,3,524544,1.00048828125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,2.0,2.1660855509253452e-07,0.00035753127303905785,0.0027799606323242188,1.0,0.0004636189842130989,0.03713679999464148,0.0023664879134082726
pi0_aligned_random_quant,vlm_attention_v_proj_seq256,"[1,256,2048]->[1,256,256]",int8_fake_quant,cuda,float32,8,3,524544,0.500244140625,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,4.0,0.0002137010160367936,0.011656169779598713,0.06233032047748566,0.9998940825462341,0.01456218957901001,0.15010337500598325,0.002986526160636234
pi0_aligned_random_quant,vlm_attention_v_proj_seq256,"[1,256,2048]->[1,256,256]",int4_weight_only_fake_quant,cuda,float32,8,3,524544,0.2501220703125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,8.0,0.02243836410343647,0.11911045759916306,0.7387131452560425,0.9890457391738892,0.14921723306179047,0.11943500000199947,0.003111743717088323
pi0_aligned_random_quant,vlm_attention_v_proj_seq256,"[1,256,2048]->[1,256,256]",w4a8_fake_quant,cuda,float32,8,3,524544,0.2501220703125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,8.0,0.022541385143995285,0.11931946128606796,0.7190101146697998,0.9889954328536987,0.1495593935251236,0.1498246249980184,0.0023469392701793673
pi0_aligned_random_quant,vlm_attention_o_proj_seq256,"[1,256,2048]->[1,256,2048]",fp32,cuda,float32,10,3,4196352,16.0078125,16.0078125,8.00390625,4.001953125,2.0009765625,1.0,0.0,0.0,0.0,0.9999998807907104,0.0,0.1877659999934167,0.0009662818528321372
pi0_aligned_random_quant,vlm_attention_o_proj_seq256,"[1,256,2048]->[1,256,2048]",fp16,cuda,float32,10,3,4196352,8.00390625,16.0078125,8.00390625,4.001953125,2.0009765625,2.0,1.7355493753257178e-07,0.00032322443439625204,0.0029311180114746094,0.9999997615814209,0.0004160357639193535,0.07641739998689445,0.0010998073616054766
pi0_aligned_random_quant,vlm_attention_o_proj_seq256,"[1,256,2048]->[1,256,2048]",int8_fake_quant,cuda,float32,8,3,4196352,4.001953125,16.0078125,8.00390625,4.001953125,2.0009765625,4.0,0.0002664737112354487,0.013024972751736641,0.08063846826553345,0.9998670816421509,0.016301942989230156,0.4507791250105697,0.006236900713002311
pi0_aligned_random_quant,vlm_attention_o_proj_seq256,"[1,256,2048]->[1,256,2048]",int4_weight_only_fake_quant,cuda,float32,8,3,4196352,2.0009765625,16.0078125,8.00390625,4.001953125,2.0009765625,8.0,0.02268000692129135,0.11973841488361359,0.8443121910095215,0.988881528377533,0.15039512515068054,0.4218227500061289,0.0010803277055157347
pi0_aligned_random_quant,vlm_attention_o_proj_seq256,"[1,256,2048]->[1,256,2048]",w4a8_fake_quant,cuda,float32,8,3,4196352,2.0009765625,16.0078125,8.00390625,4.001953125,2.0009765625,8.0,0.022782355546951294,0.12001590430736542,0.8520984053611755,0.9888319969177246,0.1507340967655182,0.46576137498988146,0.016495725118146783
pi0_aligned_random_quant,vlm_attention_q_proj_seq768,"[1,768,2048]->[1,768,2048]",fp32,cuda,float32,5,3,4196352,16.0078125,16.0078125,8.00390625,4.001953125,2.0009765625,1.0,0.0,0.0,0.0,0.9999999403953552,0.0,0.5307776000108788,0.004206255283455797
pi0_aligned_random_quant,vlm_attention_q_proj_seq768,"[1,768,2048]->[1,768,2048]",fp16,cuda,float32,5,3,4196352,8.00390625,16.0078125,8.00390625,4.001953125,2.0009765625,2.0,1.2908697044622386e-07,0.00028254877543076873,0.002529621124267578,1.0,0.0003593646688386798,0.21536740000556165,0.0008434328907874921
pi0_aligned_random_quant,vlm_attention_q_proj_seq768,"[1,768,2048]->[1,768,2048]",int8_fake_quant,cuda,float32,5,3,4196352,4.001953125,16.0078125,8.00390625,4.001953125,2.0009765625,4.0,0.0002688830718398094,0.013082469813525677,0.08153510093688965,0.9998655319213867,0.01640121266245842,0.8194291999984671,0.0015100460214517342
pi0_aligned_random_quant,vlm_attention_q_proj_seq768,"[1,768,2048]->[1,768,2048]",int4_weight_only_fake_quant,cuda,float32,5,3,4196352,2.0009765625,16.0078125,8.00390625,4.001953125,2.0009765625,8.0,0.022519685328006744,0.1192641481757164,0.8252395391464233,0.9889262914657593,0.15009817481040955,0.7523129999867706,0.0011830869651173709
pi0_aligned_random_quant,vlm_attention_q_proj_seq768,"[1,768,2048]->[1,768,2048]",w4a8_fake_quant,cuda,float32,5,3,4196352,2.0009765625,16.0078125,8.00390625,4.001953125,2.0009765625,8.0,0.022642364725470543,0.11959339678287506,0.8431702852249146,0.9888665080070496,0.15050645172595978,0.8295085999975527,0.002142837249907436
pi0_aligned_random_quant,vlm_attention_k_proj_seq768,"[1,768,2048]->[1,768,256]",fp32,cuda,float32,5,3,524544,2.0009765625,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,1.0,0.0,0.0,0.0,1.0000001192092896,0.0,0.0965415999871766,0.0006893714776753396
pi0_aligned_random_quant,vlm_attention_k_proj_seq768,"[1,768,2048]->[1,768,256]",fp16,cuda,float32,5,3,524544,1.00048828125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,2.0,2.722570684454695e-07,0.00039469910552725196,0.00464630126953125,0.9999998807907104,0.0005200795130804181,0.04889580000053684,0.002322324139270586
pi0_aligned_random_quant,vlm_attention_k_proj_seq768,"[1,768,2048]->[1,768,256]",int8_fake_quant,cuda,float32,5,3,524544,0.500244140625,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,4.0,0.0002448690065648407,0.01248973049223423,0.07811212539672852,0.9998783469200134,0.015597214922308922,0.18838960000948646,0.002421630560416497
pi0_aligned_random_quant,vlm_attention_k_proj_seq768,"[1,768,2048]->[1,768,256]",int4_weight_only_fake_quant,cuda,float32,5,3,524544,0.2501220703125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,8.0,0.022514652460813522,0.11931097507476807,0.7476105690002441,0.9889939427375793,0.14955906569957733,0.13909499999726904,0.0009566232218127748
pi0_aligned_random_quant,vlm_attention_k_proj_seq768,"[1,768,2048]->[1,768,256]",w4a8_fake_quant,cuda,float32,5,3,524544,0.2501220703125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,8.0,0.022640932351350784,0.11964418739080429,0.7455654144287109,0.988933265209198,0.149977907538414,0.18874339999683798,0.002982630094402105
pi0_aligned_random_quant,vlm_attention_v_proj_seq768,"[1,768,2048]->[1,768,256]",fp32,cuda,float32,5,3,524544,2.0009765625,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,1.0,0.0,0.0,0.0,1.0000001192092896,0.0,0.09711080000442962,0.0004657267218099458
pi0_aligned_random_quant,vlm_attention_v_proj_seq768,"[1,768,2048]->[1,768,256]",fp16,cuda,float32,5,3,524544,1.00048828125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,2.0,2.717793279316538e-07,0.0003941223840229213,0.004323005676269531,1.0,0.000520940637215972,0.04804359999752705,0.0011757308346930786
pi0_aligned_random_quant,vlm_attention_v_proj_seq768,"[1,768,2048]->[1,768,256]",int8_fake_quant,cuda,float32,5,3,524544,0.500244140625,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,4.0,0.0002455067588016391,0.012507865205407143,0.07263624668121338,0.9998775720596313,0.01565711759030819,0.18875720001005902,0.002237265593217478
pi0_aligned_random_quant,vlm_attention_v_proj_seq768,"[1,768,2048]->[1,768,256]",int4_weight_only_fake_quant,cuda,float32,5,3,524544,0.2501220703125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,8.0,0.022912200540304184,0.12039220333099365,0.7090917229652405,0.9887557625770569,0.15125629305839539,0.13789420000875907,0.000975391084020703
pi0_aligned_random_quant,vlm_attention_v_proj_seq768,"[1,768,2048]->[1,768,256]",w4a8_fake_quant,cuda,float32,5,3,524544,0.2501220703125,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,8.0,0.02304302714765072,0.12070891261100769,0.7190814018249512,0.9886922836303711,0.15168751776218414,0.19638560000885263,0.006376466835884306
pi0_aligned_random_quant,vlm_attention_o_proj_seq768,"[1,768,2048]->[1,768,2048]",fp32,cuda,float32,5,3,4196352,16.0078125,16.0078125,8.00390625,4.001953125,2.0009765625,1.0,0.0,0.0,0.0,1.0,0.0,0.5372031999854698,0.0037889987864336834
pi0_aligned_random_quant,vlm_attention_o_proj_seq768,"[1,768,2048]->[1,768,2048]",fp16,cuda,float32,5,3,4196352,8.00390625,16.0078125,8.00390625,4.001953125,2.0009765625,2.0,1.2917249136989994e-07,0.00028288838802836835,0.002296924591064453,1.0,0.00035926123382523656,0.216966599987245,0.0013525683104816445
pi0_aligned_random_quant,vlm_attention_o_proj_seq768,"[1,768,2048]->[1,768,2048]",int8_fake_quant,cuda,float32,5,3,4196352,4.001953125,16.0078125,8.00390625,4.001953125,2.0009765625,4.0,0.00025492641725577414,0.012743748724460602,0.08026600629091263,0.9998727440834045,0.01595999486744404,0.8227598000189573,0.007925086523052545
pi0_aligned_random_quant,vlm_attention_o_proj_seq768,"[1,768,2048]->[1,768,2048]",int4_weight_only_fake_quant,cuda,float32,5,3,4196352,2.0009765625,16.0078125,8.00390625,4.001953125,2.0009765625,8.0,0.022379716858267784,0.11889941990375519,0.8190504312515259,0.9890011548995972,0.14953838288784027,0.7538776000160397,0.0022415719172349745
pi0_aligned_random_quant,vlm_attention_o_proj_seq768,"[1,768,2048]->[1,768,2048]",w4a8_fake_quant,cuda,float32,5,3,4196352,2.0009765625,16.0078125,8.00390625,4.001953125,2.0009765625,8.0,0.022510183975100517,0.11924906820058823,0.8146101236343384,0.9889377951622009,0.14997363090515137,0.8335750000014741,0.002219422011827688
pi0_aligned_random_quant,vlm_attention_q_proj_seq1024,"[1,1024,2048]->[1,1024,2048]",fp32,cuda,float32,5,3,4196352,16.0078125,16.0078125,8.00390625,4.001953125,2.0009765625,1.0,0.0,0.0,0.0,1.0,0.0,0.7271009999954003,0.0016652744067558773
pi0_aligned_random_quant,vlm_attention_q_proj_seq1024,"[1,1024,2048]->[1,1024,2048]",fp16,cuda,float32,5,3,4196352,8.00390625,16.0078125,8.00390625,4.001953125,2.0009765625,2.0,1.2905525181849953e-07,0.0002827186253853142,0.002536296844482422,1.0,0.0003594306472223252,0.27569420000190803,0.001400408988704958
pi0_aligned_random_quant,vlm_attention_q_proj_seq1024,"[1,1024,2048]->[1,1024,2048]",int8_fake_quant,cuda,float32,5,3,4196352,4.001953125,16.0078125,8.00390625,4.001953125,2.0009765625,4.0,0.00027700356440618634,0.013277756981551647,0.08783543109893799,0.9998613595962524,0.01665213517844677,1.0339702000123907,0.0034900354407216053
pi0_aligned_random_quant,vlm_attention_q_proj_seq1024,"[1,1024,2048]->[1,1024,2048]",int4_weight_only_fake_quant,cuda,float32,5,3,4196352,2.0009765625,16.0078125,8.00390625,4.001953125,2.0009765625,8.0,0.022512730211019516,0.11923162639141083,0.9584992527961731,0.9889228343963623,0.15012097358703613,0.9524209999995037,0.008803543574603797
pi0_aligned_random_quant,vlm_attention_q_proj_seq1024,"[1,1024,2048]->[1,1024,2048]",w4a8_fake_quant,cuda,float32,5,3,4196352,2.0009765625,16.0078125,8.00390625,4.001953125,2.0009765625,8.0,0.022663213312625885,0.11963626742362976,0.9401939511299133,0.9888497591018677,0.15062186121940613,1.044270999989294,0.004751040202157867
pi0_aligned_random_quant,vlm_attention_k_proj_seq1024,"[1,1024,2048]->[1,1024,256]",fp32,cuda,float32,5,3,524544,2.0009765625,2.0009765625,1.00048828125,0.500244140625,0.2501220703125,1.0,0.0,0.0,0.0,1.0,0.0,0.11484000000336891,0.0026642733254839163
