experiment,module,shape,variant,device,dtype,repeat,warmup,num_parameters,estimated_weight_size_MB,fp32_weight_size_MB,fp16_weight_size_MB,int8_weight_size_MB,int4_weight_size_MB,compression_ratio_vs_fp32,mse,mae,max_error,cosine_similarity,relative_l2_error,latency_mean_ms,latency_std_ms
pi0_aligned_random_quant,action_expert_gated_ffn,"[1,50,1024]->[1,50,1024]",fp32,cuda,float32,10,3,12592128,48.03515625,48.03515625,24.017578125,12.0087890625,6.00439453125,1.0,0.0,0.0,0.0,0.9999998807907104,0.0,0.2257844999974168,0.009314322363991932
pi0_aligned_random_quant,action_expert_gated_ffn,"[1,50,1024]->[1,50,1024]",fp16,cuda,float32,10,3,12592128,24.017578125,48.03515625,24.017578125,12.0087890625,6.00439453125,2.0,3.129321726191847e-07,0.00043804271263070405,0.0034942626953125,0.9999995827674866,0.0008635215926915407,0.22796489998881952,0.007298065340217304
pi0_aligned_random_quant,action_expert_gated_ffn,"[1,50,1024]->[1,50,1024]",int8_fake_quant,cuda,float32,8,3,12592128,12.0087890625,48.03515625,24.017578125,12.0087890625,6.00439453125,4.0,0.0008152441587299109,0.022764602676033974,0.1266319751739502,0.9990298748016357,0.04407496377825737,0.950177749992065,0.009935691022097046
pi0_aligned_random_quant,action_expert_gated_ffn,"[1,50,1024]->[1,50,1024]",int4_weight_only_fake_quant,cuda,float32,8,3,12592128,6.00439453125,48.03515625,24.017578125,12.0087890625,6.00439453125,8.0,0.028548501431941986,0.1343504935503006,0.8535954356193542,0.9678702354431152,0.26081931591033936,0.8777696250206191,0.007352795508135074
pi0_aligned_random_quant,action_expert_gated_ffn,"[1,50,1024]->[1,50,1024]",w4a8_fake_quant,cuda,float32,8,3,12592128,6.00439453125,48.03515625,24.017578125,12.0087890625,6.00439453125,8.0,0.029208367690443993,0.13586537539958954,0.8420310020446777,0.9671521186828613,0.26381638646125793,0.9655195000064509,0.011728690569785313
pi0_aligned_random_quant,state_proj,"[1,1,32]->[1,1,1024]",fp32,cuda,float32,10,3,33792,0.12890625,0.12890625,0.064453125,0.0322265625,0.01611328125,1.0,0.0,0.0,0.0,1.0,0.0,0.01779149999379115,0.004740928744551827
pi0_aligned_random_quant,state_proj,"[1,1,32]->[1,1,1024]",fp16,cuda,float32,10,3,33792,0.064453125,0.12890625,0.064453125,0.0322265625,0.01611328125,2.0,8.204676049672344e-08,0.00022149694268591702,0.0012917518615722656,0.9999999403953552,0.00033102952875196934,0.03163819999372208,0.002614684911946788
pi0_aligned_random_quant,state_proj,"[1,1,32]->[1,1,1024]",int8_fake_quant,cuda,float32,8,3,33792,0.0322265625,0.12890625,0.064453125,0.0322265625,0.01611328125,4.0,9.739115193951875e-05,0.007834579795598984,0.03023514151573181,0.9999353289604187,0.01140501257032156,0.09353250000287971,0.002660755815066965
pi0_aligned_random_quant,state_proj,"[1,1,32]->[1,1,1024]",int4_weight_only_fake_quant,cuda,float32,8,3,33792,0.01611328125,0.12890625,0.064453125,0.0322265625,0.01611328125,8.0,0.007096507586538792,0.0667102038860321,0.33455389738082886,0.9952605366706848,0.09735502302646637,0.08073387500218132,0.008935197383640424
pi0_aligned_random_quant,state_proj,"[1,1,32]->[1,1,1024]",w4a8_fake_quant,cuda,float32,8,3,33792,0.01611328125,0.12890625,0.064453125,0.0322265625,0.01611328125,8.0,0.007118029985576868,0.06676003336906433,0.33847302198410034,0.9952425956726074,0.09750253707170486,0.10292287500845987,0.01495156143098121
pi0_aligned_random_quant,action_in_proj,"[1,50,32]->[1,50,1024]",fp32,cuda,float32,10,3,33792,0.12890625,0.12890625,0.064453125,0.0322265625,0.01611328125,1.0,0.0,0.0,0.0,1.0000001192092896,0.0,0.01401950001422847,0.0018967956310623733
pi0_aligned_random_quant,action_in_proj,"[1,50,32]->[1,50,1024]",fp16,cuda,float32,10,3,33792,0.064453125,0.12890625,0.064453125,0.0322265625,0.01611328125,2.0,1.2679801386639156e-07,0.0002740004856605083,0.0028924942016601562,1.0,0.00035732900141738355,0.03007820000675565,0.0037457381862162163
pi0_aligned_random_quant,action_in_proj,"[1,50,32]->[1,50,1024]",int8_fake_quant,cuda,float32,8,3,33792,0.0322265625,0.12890625,0.064453125,0.0322265625,0.01611328125,4.0,0.00014666862261947244,0.009645432233810425,0.05183005332946777,0.9999262094497681,0.012152919545769691,0.08668550000123787,0.003491296002891663
pi0_aligned_random_quant,action_in_proj,"[1,50,32]->[1,50,1024]",int4_weight_only_fake_quant,cuda,float32,8,3,33792,0.01611328125,0.12890625,0.064453125,0.0322265625,0.01611328125,8.0,0.009059720672667027,0.07447217404842377,0.46087074279785156,0.9954730272293091,0.09551452845335007,0.05433499999440983,0.001395104844727421
pi0_aligned_random_quant,action_in_proj,"[1,50,32]->[1,50,1024]",w4a8_fake_quant,cuda,float32,8,3,33792,0.01611328125,0.12890625,0.064453125,0.0322265625,0.01611328125,8.0,0.009134594351053238,0.07473814487457275,0.458096981048584,0.99543696641922,0.09590840339660645,0.0855991249935073,0.0011104784267402328
pi0_aligned_random_quant,action_out_proj,"[1,50,1024]->[1,50,32]",fp32,cuda,float32,10,3,32800,0.1251220703125,0.1251220703125,0.06256103515625,0.031280517578125,0.0156402587890625,1.0,0.0,0.0,0.0,1.0,0.0,0.017046900006789656,0.0015294037109082404
pi0_aligned_random_quant,action_out_proj,"[1,50,1024]->[1,50,32]",fp16,cuda,float32,10,3,32800,0.06256103515625,0.1251220703125,0.06256103515625,0.031280517578125,0.0156402587890625,2.0,1.296807852213533e-07,0.0002832645259331912,0.001220703125,0.9999999403953552,0.0003588060790207237,0.030063999992080426,0.003536400826114648
pi0_aligned_random_quant,action_out_proj,"[1,50,1024]->[1,50,32]",int8_fake_quant,cuda,float32,8,3,32800,0.031280517578125,0.1251220703125,0.06256103515625,0.031280517578125,0.0156402587890625,4.0,0.00016554578905925155,0.010259454138576984,0.05036664009094238,0.9999178647994995,0.012819794937968254,0.08566862500458683,0.0031880781490617846
pi0_aligned_random_quant,action_out_proj,"[1,50,1024]->[1,50,32]",int4_weight_only_fake_quant,cuda,float32,8,3,32800,0.0156402587890625,0.1251220703125,0.06256103515625,0.031280517578125,0.0156402587890625,8.0,0.018268035724759102,0.10633210837841034,0.46718114614486694,0.9910722970962524,0.13466909527778625,0.058903999999415646,0.003683243903707031
pi0_aligned_random_quant,action_out_proj,"[1,50,1024]->[1,50,32]",w4a8_fake_quant,cuda,float32,8,3,32800,0.0156402587890625,0.1251220703125,0.06256103515625,0.031280517578125,0.0156402587890625,8.0,0.018443359062075615,0.10675878077745438,0.45452553033828735,0.9909898042678833,0.13531377911567688,0.08970787497730726,0.0035422145033480916
